Designators,Casing,Section,Subsection,Category,Manufacturer,Part_Number,Description,number_elements,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Comments,Subsystem
"D3, D22",SOD-80C,Discrete Semiconductors,Small signal,Zener,NEXPERIA,BZV55-B10,10V 500mW Voltage Regulator Diode,2,kg,,NO,,,,0.00744,2.2,2.3,0.002,,EcoInvent,"diode production, glass-, for through-hole mounting",kg,Input,,4Q_power_card
D4–D7,SOD-80C,Discrete Semiconductors,Small signal,Zener,Nexperia,BZV55-B15,15V 500mW Voltage Regulator Diode,4,kg,,NO,,,,0.00744,2.2,2.3,0.002,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,,4Q_power_card
"D8, D9, D16, D17, D20, D23-D26",SOT23-3,Discrete Semiconductors,Small signal,Dual Diode,NXP SEMICONDUCTORS,BAV199,75V 250mW Low-Leakage Double Diode,9,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,,4Q_power_card
D10-D13,SOT23-3,Discrete Semiconductors,Small signal,Switching,ON SEMICONDUCTOR,BAW56L,70V Dual Common Anode Switching Diodes,4,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,mass calculated from the casing,4Q_power_card
"D14, D15, D18, D19",SOT23-3,Discrete Semiconductors,Small signal,TVS,Semtech,SM712.TCT,12V/-7V 400W Asymmetrical TVS Diode for Extended Common-Mode RS-485,4,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,perfectly describes glass SMD diodes,4Q_power_card
D21,DO-214AA,Discrete Semiconductors,Small signal,TVS,onsemi (Fairchild),SMBJ24A,24V 600W Uni-Directional Transient Voltage Suppressor Diode,1,kg,,NO,4.57,3.94,2.4,,1.2,1.25,0.05,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,,4Q_power_card
IC1,,Modules,Sensors,Current transducer,LEM,LESR 25-NP,Current Transducer 25A,1,kg,0.01,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input,"big aproximation, it contains active components mass: https://ch.farnell.com/en-CH/lem/lesr-25-np/current-sensor-voltage-85a-to/dp/3253159",4Q_power_card
IC4–IC7,,Modules,DC/DC Converters,,Traco Power,TRV 1-2413M,"19.2-28.8VDC to +15VDC/±67mA, Ripple and Noise (max) 100mVpk-pk,DC/DC Medical Converter",4,kg,0.0048,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input,Generic active component dataset used with mass scaling. The automotive converter dataset was rejected due to extreme scale difference.,4Q_power_card
IC8,SOIC16,IC,Mixed signal,,Texas Instruments,AM26LV32IDR,"Low-Voltage, High-Speed Quadruple Differential Line Receiver",1,kg,,NO,10,3.9,1.75,,1.2,1.3,0.1,,EcoInvent,"integrated circuit production, logic type",kg,Input,logic IC. The function matches.,4Q_power_card
IC9,DIP6 SMD,Modules,Hybrid relays,Solid State Relay,Panasonic,AQV210EHA,"GE 1 Form A, PhotoMOS Relay, 5000V Reinforced Insulation, 350V 130mA",1,kg,0.000427,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input,The PhotoMOS is a solid-state relay combining an LED and MOSFETs in an SMD package. No specific ecoinvent dataset exists.,4Q_power_card
IC11,SOIC16,IC,Mixed signal,Isolated Amplifier,Texas Instruments,AMC3330DWE,"Precision, ±1V Input, Reinforced Isolated Amplifier with Integrated DC/DC Converter",1,kg,,NO,10,3.9,1.75,,1.2,1.3,0.1,,EcoInvent,"integrated circuit production, logic type",kg,Input,logic IC. The function matches.,4Q_power_card
J1,,Electromechanical,Connectors,,TYCO ELECTRONICS,1-770166-0,"2 Circuits In-Line, Mini-Universal MATE-N-LOK Connector",1,kg,0.00078,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input,Mass info:https://www.tme.eu/se/details/1-770166-0/signalkontaktdon-avstand-4-14mm/te-connectivity/,4Q_power_card
J2,,Electromechanical,Connectors,,3M,N3429-6302RB,"26 Contacts - Straight .100'' x .100'' Low Profile Black Four-Wall Header (Long Roll Pin Latch/Ejectors), 3000 Series",1,kg,,NO,52.4,8.6,27.2,,1.3,1.5,4,,EcoInvent,"electric connector production, wire clamp",kg,Input,Calculated because there were different mass values depending on the website,4Q_power_card
D15-D20,TO-247-2,Discrete Semiconductors,Power,Rectifier diode,VISHAY,VS-45EPS16L-M3,"1.16V 45A 1600VR @ 1mA, High Voltage Input Rectifier Diod",6,kg,0.00542,YES,,,,,,,,,EcoInvent,"transistor production, wired, big size, through-hole mounting",kg,Input,Selected a transistor because the characteristics (materials and size) are more similar,4Q_power_card
"MOSFET_A1, MOSFET_A2, MOSFET_B1, MOSFET_B2, MOSFET_BC",TO-247-2,Discrete Semiconductors,Power,MOSFET,INFINEON,IRFP4768,250V 93A N-Channel HEXFET® Power MOSFET,5,kg,0.00542,YES,,,,,,,,,EcoInvent,"transistor production, wired, big size, through-hole mounting",kg,Input,"Same casing, similar materials than a transistor",4Q_power_card
"R1, R10 > R13, R61,R80 > R84",1206,Passives,Resistors,,GENERIC,R1206_100K_1%_0.25W_100PPM,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,11,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,,4Q_power_card
R2 > R5,1206,Passives,Resistors,,GENERIC,R1206_1R_1%_0.25W_200PPM,±1% 0.25W ±200ppm/°C General Purpose Thick Film Chip Resistor,4,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,,4Q_power_card
"R6 > R9, R38, R45, R48, R53, R54, R62 > R67, R71 > R77",1206,Passives,Resistors,,GENERIC,R1206_10K_1%_0.25W_100PPM,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,22,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,,4Q_power_card
"R14 > R19, R22 > R27, R30 > R37, R49 > R52",1206,Passives,Resistors,,GENERIC,R1206_10R_1%_0.25W_200PPM,±1% 0.25W ±200ppm/°C General Purpose Thick Film Chip Resistor,24,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,,4Q_power_card
"R20, R21, R28, R29R68 > R70, R78, R79",1206,Passives,Resistors,,GENERIC,R1206_1K_1%_0.25W_100PPM,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,13,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,,4Q_power_card
"R41, R44",1206,Passives,Resistors,,GENERIC,R1206_20K_1%_0.25W_100PPM,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,2,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,,4Q_power_card
"R46, R47, R55, R56",1206,Passives,Resistors,,GENERIC,R1206_100R_1%_0.25W_100PPM,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,4,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,,4Q_power_card
R57 > R60,1206,Passives,Resistors,,GENERIC,R1206_47K_1%_0.25W_100PPM,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,4,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input,,4Q_power_card
REG1,D2PAK,IC,Analog,Power Management,ST MICROELECTRONICS,L7805ABD2T-TR,5V 1.5A Positive Voltage Regulator,1,kg,,NO,10.29,9.65,4.83,,1.2,1.3,0.9674,,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass info FROM PACKAGING,4Q_power_card
REG2,D2PAK,IC,Analog,Power Management,ST MICROELECTRONICS,LD1086D2M33TR,3.3V 1.5A Low-Dropout Positive Voltage Regulator,1,kg,,NO,10.29,9.65,4.83,,1.2,1.3,0.9674,,EcoInvent,"integrated circuit production, logic type",kg,Input,Aproximated D2PAK/A dimmensions to D2PAK becuase of high similarity,4Q_power_card
T1,SOT23-3,Discrete Semiconductors,small signal,BJT,NEXPERIA,MMBT3904,40V 200mA NPN Switching Transistor,1,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"transistor production, surface-mounted",kg,Input,It is a small device and is SMD,4Q_power_card
T2-T6,SOT23-3,Discrete Semiconductors,small signal,BJT,INFINEON,BSS119N,"100V, 190mA, N-Channel SIPMOS® Small-Signal-Transistor",4,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"transistor production, surface-mounted",kg,Input,DATA FROM CASING,4Q_power_card
HS1-HS2,,Hardware,Thermal Management,Heatsink,FISCHER ELEKTRONIK,FFK 242 SA 220 O,TO-220 Heat Sink Rth: 26°C/W,2,kg,0.001398,YES,,,,,,,,,EcoInvent,"market for aluminium, primary + metal working, average for aluminium product manufacturing",kg,Input,"MASS FROM DATABASE, Aproximated as hardware",4Q_power_card
J2 screws,,Hardware,Mounting hardware,,3M,3341-5,"#4-24 x 5/16'' (7.94mm) Pan Head Cutting Screw, Fully Threaded, Stainless Steel",2,kg,,NO,,,,0.0805,7.8,7.9,0,,EcoInvent,"market for steel, low-alloyed + market for metal working, average for metal product manufacturing",kg,Input,"This combination represents the two required stages for metal-component LCAs: (1) stainless‑steel material production, and (2) forming/working processes needed to shape hardware like screws. Combination of coth, create a process and then give the data quality parameters to the combination",4Q_power_card
SMD_PROCESS,,Assembly Processes,SMD,,,,Assambly SMD components in the PCB,1,m2,,YES,160,175,,,,,,,EcoInvent,"mounting, surface mount technology, Pb-free solder",m2,Input,,4Q_power_card
THT_PROCESS,,Assembly Processes,THT,,,,Assambly THT components in the PCB,1,m2,,YES,160,175,,,,,,,EcoInvent,"mounting, through-hole technology, Pb-free solder",m2,Input,,4Q_power_card
PCB,,PCB,,,,PCB_ANAL_CONTROL,,1,m2,,YES,195,100,,,,,,3.08,EcoInvent,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input,,analog_control
"C1_ADC_1, C1_ADC_2, C1_ADC_3, C1_ADC_4, C1_ADC_5, C1_ADC_6, C41_ANA_CAL_0, C41_ANA_CAL_1, C146, C175, C178, C179, C180, C189",0805,Passives,Capacitors,MLCC,GENERIC,CC0805_10UF_25V_10%_X5R,"SMD Multilayer Chip Ceramic Capacitor, 100nF, 25V, X7R, 0805",14,kg,,NO,2.0,1.25,0.8,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,mass from casing,analog_control
"C2_ADC_1, C2_ADC_2, C2_ADC_3, C2_ADC_4, C2_ADC_5, C2_ADC_6, C4_ADC_1, C4_ADC_2, C4_ADC_3, C4_ADC_4, C4_ADC_5, C4_ADC_6, C6_ADC_1, C6_ADC_2, C6_ADC_3, C6_ADC_4, C6_ADC_5, C6_ADC_6, C28_ANA_CAL_0, C28_ANA_CAL_1, C29_ANA_CAL_0, C29_ANA_CAL_1, C30_ANA_CAL_0, C30_ANA_CAL_1, C31_ANA_CAL_0, C31_ANA_CAL_1, C33_ANA_CAL_0, C33_ANA_CAL_1, C34_ANA_CAL_0, C34_ANA_CAL_1, C36_ANA_CAL_0, C36_ANA_CAL_1, C37_ANA_CAL_0, C37_ANA_CAL_1, C38_ANA_CAL_0, C38_ANA_CAL_1, C42_ANA_CAL_0, C42_ANA_CAL_1, C43_ANA_CAL_0, C43_ANA_CAL_1, C45_ANA_CAL_0, C45_ANA_CAL_1, C46_ANA_CAL_0, C46_ANA_CAL_1, C49, C50, C51, C55, C56, C57, C59, C60, C64, C71, C72, C73, C74, C75, C76, C77, C83, C84, C85, C86, C87, C88, C91, C92, C94, C95, C98, C99, C100, C101, C102, C103, C104, C108, C109, C110, C111, C112, C145, C149, C154, C155, C156_ANA_CAL_0, C156_ANA_CAL_1, C157_ANA_CAL_0, C157_ANA_CAL_1, C161, C163, C164, C165, C166, C167, C168, C169, C170, C171, C173, C174, C176, C182, C183, C184, C185, C186, C187, C188, C196, C197, C198, C199, C200, C201, C202, C203, C204, C205, C206, C207, C208, C212, C213, C214, C215",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_100NF_50V_10%_X7R,"SMD Multilayer Chip Ceramic Capacitor, 100nF, 50V, X7R, 0402",127,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,mass from casing,analog_control
"C3_ADC_1, C3_ADC_2, C3_ADC_3, C3_ADC_4, C3_ADC_5, C3_ADC_6, C5_ADC_1, C5_ADC_2, C5_ADC_3, C5_ADC_4, C5_ADC_5, C5_ADC_6, C7_ADC_1, C7_ADC_2, C7_ADC_3, C7_ADC_4, C7_ADC_5, C7_ADC_6, C11, C24_ANA_CAL_0, C24_ANA_CAL_1, C26, C32_ANA_CAL_0, C32_ANA_CAL_1, C35_ANA_CAL_0, C35_ANA_CAL_1, C39_ANA_CAL_0, C39_ANA_CAL_1, C44_ANA_CAL_0, C44_ANA_CAL_1, C48, C54, C58, C61, C93, C159, C172, C194, C195",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_1UF_25V_10%_X5R,"SMD Multilayer Chip Ceramic Capacitor, 10µF, 6.3V, X5R, 0402",39,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402,analog_control
"C8_ANA_CAL_0, C8_ANA_CAL_1, C9_ANA_CAL_0, C9_ANA_CAL_1",0603,Passives,Capacitors,MLCC,GENERIC,CC0603_4.7NF_50V_5%_C0G,"SMD Multilayer Chip Ceramic Capacitor, 4.7NF_50V_5%, 0603",4,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402,analog_control
"C10, C12_ANA_CAL_0, C12_ANA_CAL_1, C13_ANA_CAL_0, C13_ANA_CAL_1, C14, C17, C47, C52, C62, C63, C65, C89, C90, C96, C97, C105, C107, C151, C158, C160, C181, C191, C192, C209",0603,Passives,Capacitors,MLCC,GENERIC,CC0603_10NF_50V_5%_C0G,10nF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,25,kg,,NO,1.6,0.8,0.8,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0603 MLCC mass 6.5 mg.,analog_control
"C15_ANA_CAL_0, C15_ANA_CAL_1, C27_ANA_CAL_0, C27_ANA_CAL_1, C53, C106, C193",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_100PF_25V_1%_C0G,100pF ±1% 25V C0G SMD Multilayer Chip Ceramic Capacitor,7,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0402 MLCC mass 1.6 mg.,analog_control
"C16_ANA_CAL_0, C16_ANA_CAL_1, C25_ANA_CAL_0, C25_ANA_CAL_1, C78, C80, C82, C113_ADC_1, C113_ADC_2, C113_ADC_3, C113_ADC_4, C113_ADC_5, C113_ADC_6, C116_ADC_1, C116_ADC_2, C116_ADC_3, C116_ADC_4, C116_ADC_5, C116_ADC_6, C117_ADC_1, C117_ADC_2, C117_ADC_3, C117_ADC_4, C117_ADC_5, C117_ADC_6, C120_ADC_1, C120_ADC_2, C120_ADC_3, C120_ADC_4, C120_ADC_5, C120_ADC_6, C121_ADC_1, C121_ADC_2, C121_ADC_3, C121_ADC_4, C121_ADC_5, C121_ADC_6, C124_ADC_1, C124_ADC_2, C124_ADC_3, C124_ADC_4, C124_ADC_5, C124_ADC_6, C125_ADC_1, C125_ADC_2, C125_ADC_3, C125_ADC_4, C125_ADC_5, C125_ADC_6, C128_ADC_1, C128_ADC_2, C128_ADC_3, C128_ADC_4, C128_ADC_5, C128_ADC_6, C129_ADC_1, C129_ADC_2, C129_ADC_3, C129_ADC_4, C129_ADC_5, C129_ADC_6, C132_ADC_1, C132_ADC_2, C132_ADC_3, C132_ADC_4, C132_ADC_5, C132_ADC_6, C133_ADC_1, C133_ADC_2, C133_ADC_3, C133_ADC_4, C133_ADC_5, C133_ADC_6, C136_ADC_1, C136_ADC_2, C136_ADC_3, C136_ADC_4, C136_ADC_5, C136_ADC_6, C137_ADC_1, C137_ADC_2, C137_ADC_3, C137_ADC_4, C137_ADC_5, C137_ADC_6, C140_ADC_1, C140_ADC_2, C140_ADC_3, C140_ADC_4, C140_ADC_5, C140_ADC_6, C141_ADC_1, C141_ADC_2, C141_ADC_3, C141_ADC_4, C141_ADC_5, C141_ADC_6, C144_ADC_1, C144_ADC_2, C144_ADC_3, C144_ADC_4, C144_ADC_5, C144_ADC_6, C148, C152",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_33PF_50V_5%_C0G,33pF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,105,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0402 MLCC mass 1.6 mg.,analog_control
"C18_ANA_CAL_0, C18_ANA_CAL_1, C23_ANA_CAL_0, C23_ANA_CAL_1",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_47PF_50V_5%_C0G,47pF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,4,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0402 MLCC.,analog_control
"C19_ANA_CAL_0, C19_ANA_CAL_1",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_330PF_50V_5%_C0G,330pF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,2,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0402 MLCC.,analog_control
"C20_ANA_CAL_0, C20_ANA_CAL_1",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_220PF_50V_5%_C0G,220pF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,2,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0402 MLCC.,analog_control
"C21_ANA_CAL_0, C21_ANA_CAL_1",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_1.5NF_50V_5%_C0G,1.5nF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,2,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0402 MLCC.,analog_control
"C22_ANA_CAL_0, C22_ANA_CAL_1",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_1NF_50V_5%_C0G,1nF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,2,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0402 MLCC.,analog_control
"C40_ANA_CAL_0, C40_ANA_CAL_1, C190",1210,Passives,Capacitors,MLCC,GENERIC,CC1210_47UF_10V_10%_X7R,47µF ±10% 10V X7R SMD Multilayer Chip Ceramic Capacitor,3,kg,,NO,3.2,2.5,2.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Caing,analog_control
"C66, C69, C70, C147, C162",E,Passives,Capacitors,Tantalum,GENERIC,CTE7343-43_100UF_25V_10%_LESR0150,100µF ±10% 25V Low ESR Solid Tantalum Chip Capacitor,5,kg,,NO,7.3,4.3,4.1,,5,6,0,0,EcoInvent,"capacitor production, electrolyte type, < 2cm height",kg,Input,Caing,analog_control
"C67, C68, C79, C81, C150, C153",0805,Passives,Capacitors,MLCC,GENERIC,CC0805_100NF_50V_1%_NP0,100nF ±1% 50V NP0 SMD Multilayer Chip Ceramic Capacitor,6,kg,,NO,2.0,1.25,0.8,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0805,analog_control
"C114_ADC_1, C114_ADC_2, C114_ADC_3, C114_ADC_4, C114_ADC_5, C114_ADC_6, C115_ADC_1, C115_ADC_2, C115_ADC_3, C115_ADC_4, C115_ADC_5, C115_ADC_6, C118_ADC_1, C118_ADC_2, C118_ADC_3, C118_ADC_4, C118_ADC_5, C118_ADC_6, C119_ADC_1, C119_ADC_2, C119_ADC_3, C119_ADC_4, C119_ADC_5, C119_ADC_6, C122_ADC_1, C122_ADC_2, C122_ADC_3, C122_ADC_4, C122_ADC_5, C122_ADC_6, C123_ADC_1, C123_ADC_2, C123_ADC_3, C123_ADC_4, C123_ADC_5, C123_ADC_6, C126_ADC_1, C126_ADC_2, C126_ADC_3, C126_ADC_4, C126_ADC_5, C126_ADC_6, C127_ADC_1, C127_ADC_2, C127_ADC_3, C127_ADC_4, C127_ADC_5, C127_ADC_6, C130_ADC_1, C130_ADC_2, C130_ADC_3, C130_ADC_4, C130_ADC_5, C130_ADC_6, C131_ADC_1, C131_ADC_2, C131_ADC_3, C131_ADC_4, C131_ADC_5, C131_ADC_6, C134_ADC_1, C134_ADC_2, C134_ADC_3, C134_ADC_4, C134_ADC_5, C134_ADC_6, C135_ADC_1, C135_ADC_2, C135_ADC_3, C135_ADC_4, C135_ADC_5, C135_ADC_6, C138_ADC_1, C138_ADC_2, C138_ADC_3, C138_ADC_4, C138_ADC_5, C138_ADC_6, C139_ADC_1, C139_ADC_2, C139_ADC_3, C139_ADC_4, C139_ADC_5, C139_ADC_6, C142_ADC_1, C142_ADC_2, C142_ADC_3, C142_ADC_4, C142_ADC_5, C142_ADC_6, C143_ADC_1, C143_ADC_2, C143_ADC_3, C143_ADC_4, C143_ADC_5, C143_ADC_6, C210, C211",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_680PF_50V_1%_C0G,680pF ±1% 50V C0G SMD Multilayer Chip Ceramic Capacitor,98,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0402 MLCC mass 1.6 mg.,analog_control
C177,0402,Passives,Capacitors,MLCC,GENERIC,CC0402_10PF_50V_5%_C0G,10pF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,1,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Generic 0402 MLCC.,analog_control
"D1, D2",SOT23-3,Discrete Semiconductors,Small signal,Dual Diode,Nexperia,BAV99,75V 250mW Dual Series Switching Diode,2,kg,,NO,2.9,1.3,1.0,,1.2,1.3,0.0000035,0,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,Mass from SOT23‑3 casing (8.2 mg). BAV99 is a dual diode in SOT23‑3.,analog_control
"D3, D4, D5, D8, D9",DO-214AC,Discrete Semiconductors,Small signal,Schottky,DIODES INC.,SS16,60V 1A Surface Mount Schottky Rectifier,5,kg,0.00012,YES,,,,,,,,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,Mass from DO‑214AC (SMA) typical 0.12 g. SS16 is a Schottky diode in SMA package.,analog_control
"D6, D10, D11",0402,Discrete Semiconductors,Small signal,ESD Protection,TEXAS INSTRUMENTS,0402ESDA-MLP,0.05pF 8kV Bidirectional ESD Voltage Suppressor,3,kg,0.0000014,YES,1.0,0.5,0.5,,1.2,1.3,0.0000002,0,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,Mass estimated from 0402 package (1.6 mg). Plastic SMD diode with copper leads.,analog_control
D12,SOD-323-2,Discrete Semiconductors,Small signal,Zener,ONSEMI,MM3Z3V6T1G,3.6V 200mW Zener Voltage Regulator,1,kg,0.00001,YES,,,,,,,,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,,analog_control
F1,0603,Passives,Protection,,LITTELFUSE,0603L010,PTC Resettable Fuse 100mA 15V 0603,1,kg,,NO,1.6,0.8,0.8,,1.5,2.5,0,0,EcoInvent,"electronic component, passive, unspecified",kg,Input,,analog_control
"IC1_ADC_1, IC1_ADC_2, IC1_ADC_3, IC1_ADC_4, IC1_ADC_5, IC1_ADC_6, IC3_ADC_1, IC3_ADC_2, IC3_ADC_3, IC3_ADC_4, IC3_ADC_5, IC3_ADC_6, IC4_ADC_1, IC4_ADC_2, IC4_ADC_3, IC4_ADC_4, IC4_ADC_5, IC4_ADC_6",VQFN-20,IC,Digital,Logic,TEXAS INSTRUMENTS,SN74AUC245RGYR,"8-ch, 0.8-V to 2.7-V high speed buffers with 3-state outputs",18,kg,0.000043,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,https://www.mouser.ch/ProductDetail/Texas-Instruments/SN74AUC245RGYR?qs=0kuPHEOuoRTOR7HjtNv3EQ%3D%3D,analog_control
"IC2_ADC_1, IC2_ADC_2, IC2_ADC_3, IC2_ADC_4, IC2_ADC_5, IC2_ADC_6",BGA-64,IC,Mixed-Signal,Data Acquisition,ANALOG DEVICES,AD4857BBC,"8-Channel Simultaneous Sampling, 16-Bit 1 MSPS DAS",6,kg,,NO,7,7,1.42,,1.2,1.3,0.00001,,EcoInvent,"integrated circuit production, logic type",kg,Input,Dimmensions,analog_control
"IC5_ANA_CAL_0, IC5_ANA_CAL_1, IC13, IC30_ANA_CAL_0, IC30_ANA_CAL_1, IC39",MSOP-8,IC,Analog,Amplifier,ANALOG DEVICES,AD8672ARM,Dual Operational Amplifier,6,kg,0.00014,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,https://www.mouser.ch/ProductDetail/Analog-Devices/AD8672ARMZ-REEL?qs=%2FtpEQrCGXCwmHEbuIHrFtA%3D%3D,analog_control
"IC6_ANA_CAL_0, IC6_ANA_CAL_1",SOIC8,IC,Analog,Amplifier,TEXAS INSTRUMENTS,THS4531ID,Differential Amplifier,2,kg,,NO,4.9,3.9,1.75,,1.2,1.2,,,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass from SOIC‑8 package,analog_control
"IC7_ANA_CAL_0, IC7_ANA_CAL_1",SOIC16,IC,Analog,Switch,ANALOG DEVICES,DG412DY+,Quad SPST CMOS Analog Switches,2,kg,,NO,10,3.9,1.75,,1.2,1.3,0.1,,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass from SOIC‑16,analog_control
"IC8_ANA_CAL_0, IC8_ANA_CAL_1, IC10_ANA_CAL_0, IC10_ANA_CAL_1, IC20, IC21",SM-8,IC,Digital,Logic,TEXAS INSTRUMENTS,SN74AVC2T45DCT,Dual-Bit Dual-Supply Bus Transceiver with Configurable Voltage Translation,6,kg,0.0000234,YES,,,,,,,,0,EcoInvent,"integrated circuit production, logic type",kg,Input,,analog_control
"IC9_ANA_CAL_0, IC9_ANA_CAL_1",MSOP-16,IC,Mixed-Signal,ADC,LINEAR TECHNOLOGY,LTC2378CMS-20,"20-Bit, 1Msps, Low Power SAR ADC",2,kg,0.000343,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,mass from casing,analog_control
IC11,TSSOP-14,IC,Analog,Amplifier,TEXAS INSTRUMENTS,OPA4192IPW,Quad Operational Amplifier,1,kg,0.0000574,YES,,,,,,,,0,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass from TSSOP‑14 package (5×4.4×1.0 mm) volume × 1.25 g/cm³ + metal_extra 5 mg ≈ 32.5 mg. OPA4192IPW datasheet.,analog_control
