Designators,Casing,Section,Subsection,Ecoinvent_unit,unit,Total_quantity,Total_mass_kg,Ecoinvent_flow,Category,Manufacturer,Part_Number,Description,number_elements,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Direction,Comments,Order_index,Category_order,Group_order,Method,Volume_cm3,Mass_per_element_g,Density_used_g_cm3,Density_source,Validation_error
IC41,LFCSP20,IC,Analog,kg,kg,5.84e-05,5.84e-05,"integrated circuit production, logic type",Power Management,ANALOG DEVICES,ADP5071ACP,2 A/1.2 A DC-to-DC Switching Regulator with Independent Positive and Negative Outputs,1,5.84e-05,YES,,,,,,,,,EcoInvent,Input,"LFCSP-20 4x4mm; volume 0.012 cm³, mass ~0.02 g.",52,15,15,DATASHEET_QTY_KG,,0.0584,,MISSING,
IC51,LGA25,IC,Analog,kg,kg,0.0005,0.0005,"electronic component production, active, unspecified",Power Management,ANALOG DEVICES,LTM4623EY,"4V-20V to 0.6V-5.5V, Iout 3A Step-Down DC/DC uModule Regulator",1,0.0005,YES,,,,,,,,,EcoInvent,Input,https://www.mouser.ch/ProductDetail/Analog-Devices/LTM4623EYPBF?qs=oahfZPh6IAKdnYwXJmocfg%3D%3D,56,15,15,DATASHEET_QTY_KG,,0.5,,MISSING,
"IC4, IC5, IC49",,IC,Analog,kg,kg,9.3e-05,9.3e-05,"integrated circuit production, logic type",Sensor,TEXAS INSTRUMENTS,LM75AIMM/NOPB,-25° to +100°C ±2°C Digital Temperature Sensor and Thermal Watchdog with Two-Wire Interface,3,3.1e-05,YES,,,,,,,,,EcoInvent,Input,https://www.mouser.ch/ProductDetail/Texas-Instruments/LM75AIMMX-NOPB?qs=QbsRYf82W3EzczEYb3tXUw%3D%3D&utm_id=22436684839&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gad_campaignid=22433179847&gbraid=0AAAAADn_wf1l8ruSsPF_DckQU7MzW_QXa&gclid=CjwKCAjwspPOBhB9EiwATFbi5JrjytZua-y5B42GK1_LaayPaVKI0IkQFsEFVSFcvQmqFsOT2AWlyhoCXIsQAvD_BwE,39,16,16,DATASHEET_QTY_KG,,0.031,,MISSING,
"IC6, IC7, IC60",,IC,Mixed-Signal,kg,kg,0.00162,0.00162,"integrated circuit production, logic type",Isolator,TEXAS INSTRUMENTS,ISO1541D,Low-Power Bi-Directional I2C Isolator,3,0.00054,YES,,,,,,,,,EcoInvent,Input,https://www.mouser.mx/ProductDetail/Texas-Instruments/ISO1541D?qs=rg6Iqu58vpX7sSwEg8DO7Q%3D%3D&srsltid=AfmBOorTK5TtypdwEgo56vH5tqzxL9x4Zpbt0RSDXoWLVfm-YZbnnuwQ,40,17,17,DATASHEET_QTY_KG,,0.54,,MISSING,
"IC8, IC42",,IC,Digital,kg,kg,0.0001,0.0001,"integrated circuit production, logic type",Logic,TEXAS INSTRUMENTS,SN74LVC8T245RHL,8-Bit Dual-Supply Bus Transceiver with Configurable Voltage Translation and 3-State Outputs,2,5e-05,YES,,,,,,,,,EcoInvent,Input,https://www.mouser.ch/ProductDetail/Texas-Instruments/SN74LVC8T245RHLR?qs=dT9u2OTAaVWMeuErzytHQg%3D%3D&srsltid=AfmBOopve09sA5PMaAvfty20jfjYyyxL3pM3-a_noOQlXR1kMdrqlZWP,41,18,18,DATASHEET_QTY_KG,,0.05,,MISSING,
"IC9, IC10, IC22, IC23, IC24, IC33, IC38",,IC,Digital,kg,kg,0.00035,0.00035,"integrated circuit production, logic type",Logic,TEXAS INSTRUMENTS,SN74AXC8T245RHL,8-Bit Dual-Supply Bus Transceiver with Configurable Voltage Translation and 3-State Outputs,7,5e-05,YES,,,,,,,,,EcoInvent,Input,Same VQFN-24.,42,18,18,DATASHEET_QTY_KG,,0.05,,MISSING,
"IC12, IC13, IC70, IC75",TSSOP14,IC,Digital,kg,kg,0.0002288,0.0002288,"integrated circuit production, logic type",Logic,TEXAS INSTRUMENTS,SN74LV02APW,Quadruple 2-Input Positive-NOR Gate,4,5.72e-05,YES,,,,,,,,,EcoInvent,Input,https://www.mouser.ch/ProductDetail/Texas-Instruments/SN74LV02APW?qs=UG%2F8xqv%2F6Wcp3JUxMEyKAQ%3D%3D,44,18,18,DATASHEET_QTY_KG,,0.0572,,MISSING,
IC43,TSSOP14,IC,Digital,kg,kg,5.72e-05,5.72e-05,"integrated circuit production, logic type",Logic,TEXAS INSTRUMENTS,SN74LVC14APW,Hex Schmitt-Trigger Inverter,1,5.72e-05,YES,,,,,,,,,EcoInvent,Input,TSSOP-14.,53,18,18,DATASHEET_QTY_KG,,0.0572,,MISSING,
"IC45, IC46, IC47, IC85",VQFN14,IC,Digital,kg,kg,0.0001288,0.0001288,"integrated circuit production, logic type",Logic,TEXAS INSTRUMENTS,SN74LVC07ARGY,Hex Buffer with Open-Drain Outputs,4,3.22e-05,YES,,,,,,,,,EcoInvent,Input,,55,18,18,DATASHEET_QTY_KG,,0.0322,,MISSING,
"IC53, IC54, IC55, IC58, IC59",UQFN10,IC,Digital,kg,kg,0.000155,0.000155,"integrated circuit production, logic type",Logic,TEXAS INSTRUMENTS,SN74AVC2T245RSWR,Dual-Bit Dual-Supply Bus Transceiver with Configurable Voltage Translation and 3-State Outputs,5,3.1e-05,YES,,,,,,,,,EcoInvent,Input,"UQFN-10; volume 0.0015 cm³, mass ~0.0024 g.",58,18,18,DATASHEET_QTY_KG,,0.031,,MISSING,
"IC66, IC68",TSSOP14,IC,Digital,kg,kg,0.0001144,0.0001144,"integrated circuit production, logic type",Logic,TEXAS INSTRUMENTS,SN74HCS4075PW,Triple 3-Input OR Gate with Schmitt-Trigger Inputs,2,5.72e-05,YES,,,,,,,,,EcoInvent,Input,TSSOP-14.,61,18,18,DATASHEET_QTY_KG,,0.0572,,MISSING,
"IC67, IC71, IC72, IC73, IC74",TSSOP14,IC,Digital,kg,kg,0.000286,0.000286,"integrated circuit production, logic type",Logic,TEXAS INSTRUMENTS,SN74LVC74APWT,Dual Positive-Edge-Triggered D-Type Flip Flop with Clear And Reset,5,5.72e-05,YES,,,,,,,,,EcoInvent,Input,TSSOP-14.,62,18,18,DATASHEET_QTY_KG,,0.0572,,MISSING,
"IC11_CONTACT_OUT_0, IC11_CONTACT_OUT_1, IC11_CONTACT_OUT_2, IC11_CONTACT_OUT_3, IC11_CONTACT_OUT_4, IC11_CONTACT_OUT_5",DIP6 SMD,Modules,Hybrid Relays,kg,kg,0.000427,0.000427,"electronic component production, active, unspecified",Solid State Relay,PANASONIC,AQV251A,"HE 1 Form A, PhotoMOS Relay, Low On-Resistance, 40V 500mA",1,0.000427,YES,,,,,,,,,EcoInvent,Input,The PhotoMOS is a solid-state relay combining an LED and MOSFETs in an SMD package. No specific ecoinvent dataset exists.,43,19,19,DATASHEET_QTY_KG,,0.427,,MISSING,
"IC15, IC17",TSSOP16,IC,Analog,kg,kg,0.000346,0.000346,"integrated circuit production, logic type",Driver,TEXAS INSTRUMENTS,TPL7407LAPW,30-V 7-Channel Low Side Driver,2,0.000173,YES,,,,,,,,,EcoInvent,Input,https://www.mouser.ch/ProductDetail/Texas-Instruments/TPL7407LAPWR?qs=5aG0NVq1C4w9BpsnF07yow%3D%3D,46,20,20,DATASHEET_QTY_KG,,0.173,,MISSING,
"IC18, IC19",TSSOP38,IC,Mixed-Signal,kg,kg,0.0005252,0.0005252,"integrated circuit production, logic type",Interface,TEXAS INSTRUMENTS,SN65MLVD082DGG,8-Channel Half-Duplex M-LVDS Line Transceiver,2,0.0002626,YES,,,,,,,,,EcoInvent,Input,"TSSOP-38; volume 9.7×4.4×1 = 0.0427 cm³, mass ~0.0634 g.",48,21,21,DATASHEET_QTY_KG,,0.2626,,MISSING,
"IC25, IC32, IC34, IC35, IC36, IC37, IC39, IC40",VSON8,IC,Digital,kg,kg,0.000192,0.000192,"integrated circuit production, logic type",Interface,TEXAS INSTRUMENTS,SN65HVD78DRB,"3.3-V Supply RS-485 With IEC ESD protection, 50Mbps",8,2.4e-05,YES,,,,,,,,,EcoInvent,Input,https://www.mouser.ch/ProductDetail/Texas-Instruments/SN65HVD78DRBR?qs=uuvYgmlZVOvZX%2Fzgsy5uJA%3D%3D,50,21,23,DATASHEET_QTY_KG,,0.024,,MISSING,
"IC26, IC27, IC28, IC29, IC30, IC31",VQFN16,IC,Digital,kg,kg,0.0002232,0.0002232,"integrated circuit production, logic type",Interface,TEXAS INSTRUMENTS,AM26LV31EIRGY,Low-Voltage High-Speed Quadruple Differential Line Driver with ±15-kV IEC ESD Protection,6,3.72e-05,YES,,,,,,,,,EcoInvent,Input,,51,21,23,DATASHEET_QTY_KG,,0.0372,,MISSING,
"IC20, IC21, IC76, IC77, IC78, IC79, IC81",SOIC8,IC,Optoelectronics,kg,kg,0.000280917,0.000280917,"integrated circuit production, logic type",Optocoupler,BROADCOM,HCPL-063L-000E,"Dual-Channel, High Speed LVTTL Compatible 3.3 Volt Optocoupler",7,4.0131e-05,NO,4.9,3.9,1.75,,1.2,1.2,,,EcoInvent,Input,Mass from casing,49,22,22,CALCULATED,0.0334425,0.040131,1.2,MIN_MAX_AVG,
"IC44_DIG_IND_IN_1, IC44_DIG_IND_IN_2, IC44_DIG_IND_IN_3, IC44_DIG_IND_IN_4, IC44_DIG_IND_IN_5, IC44_DIG_IND_IN_6, IC44_DIG_IND_IN_7, IC44_DIG_IND_IN_8, IC44_DIG_IND_IN_9, IC44_DIG_IND_IN_10, IC44_DIG_IND_IN_11, IC44_DIG_IND_IN_12, IC44_DIG_IND_IN_13, IC44_DIG_IND_IN_14",TSSOP24,IC,Mixed-Signal,kg,kg,0.0021,0.0021,"integrated circuit production, logic type",Isolated Digital Input,TEXAS INSTRUMENTS,ISO1228DFB,Eight-Channel Isolated Digital Input with Current Limit and Diagnostics,14,0.00015,YES,,,,,,,,,EcoInvent,Input,"TSSOP-24; volume 7.8×4.4×1 = 0.0343 cm³, mass ~0.053 g.",54,23,24,DATASHEET_QTY_KG,,0.15,,MISSING,
"IC56, IC57",VSSOP8,IC,Mixed-Signal,kg,kg,1.92e-05,1.92e-05,"integrated circuit production, logic type",Voltage Translator,TEXAS INSTRUMENTS,PCA9306DCUR,Dual Bidirectional I2C Bus and SMBus Voltage-Level Translator,2,9.6e-06,YES,,,,,,,,,EcoInvent,Input,VSSOP-8; mass ~0.0116 g.,59,24,25,DATASHEET_QTY_KG,,0.0096,,MISSING,
"IC61, IC62, IC63, IC64, IC65",VSSOP10,IC,Mixed-Signal,kg,kg,0.0001185,0.0001185,"integrated circuit production, logic type",Power Monitor,TEXAS INSTRUMENTS,INA226AIDGST,"High-or Low Side Measurement, Bi-Directional Current/Power Monitor with I2C Interface",5,2.37e-05,YES,,,,,,,,,EcoInvent,Input,VSSOP-10; same mass as VSSOP-8 (0.0116g).,60,25,26,DATASHEET_QTY_KG,,0.0237,,MISSING,
J1,,Electromechanical,Connectors,kg,kg,0.0162,0.0162,"electric connector production, peripheral type buss",High-Speed I/O,TE CONNECTIVITY,1-2007637-5,2x2 Press Fit SFP+ Cage and PT Connectors Assembly with EMI Springs,1,0.0162,YES,,,,,,,,,EcoInvent,Input,https://www.mouser.ch/ProductDetail/TE-Connectivity/1-2007637-5?qs=qnhXEskkPyvt9BrFBsiKkQ%3D%3D,63,26,27,DATASHEET_QTY_KG,,16.2,,MISSING,
"J2, J3, J4",,Electromechanical,Connectors,kg,kg,0.2214,0.2214,"electric connector production, peripheral type buss",High-Density Array,SAMTEC,ADF6-100-03.5-L-4-2-A,400 contacts (4 rows abcd) High-Density Slim Body Arrays Female Connector without Alignment Pin,3,0.0738,YES,,,,,,,,,EcoInvent,Input,https://www.tme.com/ph/en/details/adf6-60-03.5-l-4-2/board-to-board-connectors/samtec/adf6-60-03-5-l-4-2-a-tr/,64,27,28,DATASHEET_QTY_KG,,73.8,,MISSING,
J5,,Electromechanical,Connectors,kg,kg,0.015336,0.015336,"electric connector production, peripheral type buss",Right Angle Header,AMPHENOL,10052825-101LF,"72 Contacts, 2mm Pitch, 6 Columns, 4 Pairs per Column, 4 Walls, Right Angle Header",1,0.015336,YES,,,,,,,,,EcoInvent,Input,http://mouser.ch/ProductDetail/Amphenol-FCI/10052825-101LF?qs=qObghIyrWxrXt6HI1S6RBA%3D%3D,65,28,29,DATASHEET_QTY_KG,,15.336,,MISSING,
"J6, J13, J14",,Electromechanical,Connectors,kg,kg,0.046008,0.046008,"electric connector production, peripheral type buss",Right Angle Header,AMPHENOL,10052837-101LF,"96 Contacts, 2mm Pitch, 8 Columns, 4 Pairs per Column, 2 Walls, Right Angle Header",3,0.015336,YES,,,,,,,,,EcoInvent,Input,sAME AS THE PREVIOUS,66,28,29,DATASHEET_QTY_KG,,15.336,,MISSING,
J7,,Electromechanical,Connectors,kg,kg,0.010248,0.010248,"electric connector production, peripheral type buss",Modular Jack,ABRACON,ARJM11D7-502-AB-EW2,DC-10MBd Versatile Link Fiber Optic Analog Transmitter for 1 mm POF and 200 µm PCS,1,0.010248,YES,,,,,,,,,EcoInvent,Input,RJ45 with integrated magnetics; mass ~12g.,67,29,30,DATASHEET_QTY_KG,,10.248,,MISSING,
J8,,Electromechanical,Connectors,kg,kg,0.002841,0.002841,"electric connector production, peripheral type buss",USB,KYCON,KUSBX-SL-CS1N14-B,"USB 2.0 Type C Receptacle, High Temp., Flag Style Through Hole 14 Pin, Black",1,0.002841,YES,,,,,,,,,EcoInvent,Input,Mass from typical USB-C connectors (~3g).,68,30,31,DATASHEET_QTY_KG,,2.841,,MISSING,
J9,,Electromechanical,Connectors,kg,kg,0.0009276,0.0009276,"electric connector production, wire clamp",PicoBlade,MOLEX,530480310,"1.25mm Pitch, PicoBlade PCB Header, Right-Angle, Through Hole, Tin (Sn) Plating, Friction Lock, 3 Circuits, Tray, 2.30mm PC Tail Length",1,0.0009276,YES,,,,,,,,,EcoInvent,Input,https://www.mouser.ch/ProductDetail/Molex/53048-0310?qs=zXrbR4Jv0OfUlEeVnlaifA%3D%3D,69,31,32,DATASHEET_QTY_KG,,0.9276,,MISSING,
J10,,Electromechanical,Connectors,kg,kg,0.000279,0.000279,"electric connector production, wire clamp",PicoBlade,MOLEX,53261-1071,"1.25mm (.049\"") Pitch PicoBlade™ Surface Mount 10 Circuits Right Angle Header",1,0.000279,YES,,,,,,,,,EcoInvent,Input,Mass estimated (~1g).,70,31,32,DATASHEET_QTY_KG,,0.279,,MISSING,
J11,,Electromechanical,Connectors,kg,kg,0.0015,0.0015,"electric connector production, peripheral type buss",FFC/FPC,MOLEX,2203631200,"Easy-On FFC/FPC Connector, 0.40mm Pitch, FD4P Series, Right-Angle, Bottom Contact, 2.00mm Height, 120 Circuits, Gold over Nickel Plating",1,0.0015,YES,,,,,,,,,EcoInvent,Input,Mass estimated (~2g).,71,32,33,DATASHEET_QTY_KG,,1.5,,MISSING,
J12,,Electromechanical,Connectors,kg,kg,0.0005,0.0005,"electric connector production, peripheral type buss",FFC/FPC,MOLEX,2203630800,"Easy-On FFC/FPC Connector, 0.40mm Pitch, FD4P Series, Right-Angle, Bottom Contact, 2.00mm Height, 80 Circuits, Gold over Nickel Plating",1,0.0005,YES,,,,,,,,,EcoInvent,Input,Mass estimated (~1.5g).,72,32,33,DATASHEET_QTY_KG,,0.5,,MISSING,
"L1, L2, L3",0603,Passives,Inductors,kg,kg,1.536e-05,1.536e-05,"inductor production, low value multilayer chip",Ferrite Bead,MURATA,BLM18SG121TN1D,SMD EMIFIL Suppression Chip Ferrite Bead,3,5.12e-06,NO,1.6,0.8,0.8,,4.5,5.5,,,EcoInvent,Input,"Mass from casing, different density than in capacitors, the EcoInvent dataset is accurate",73,33,34,CALCULATED,0.001024,0.00512,5.0,MIN_MAX_AVG,
"L4, L5, L6, L7, L13, L14, L15, L16, L17",0603,Passives,Inductors,kg,kg,4.608e-05,4.608e-05,"inductor production, low value multilayer chip",Ferrite Bead,MURATA,BLM18SG221TN1,SMD EMIFIL Suppression Chip Ferrite Bead,9,5.12e-06,NO,1.6,0.8,0.8,,4.5,5.5,,,EcoInvent,Input,"Mass from casing, different density than in capacitors, the EcoInvent dataset is accurate",74,33,34,CALCULATED,0.001024,0.00512,5.0,MIN_MAX_AVG,
"L10, L12, L18, L19",0805,Passives,Inductors,kg,kg,4e-05,4e-05,"inductor production, low value multilayer chip",Ferrite Bead,WURTH,742792040,SMD EMI Suppression Chip Ferrite Bead (WE-CBF Series),4,1e-05,NO,2.0,1.25,0.8,,4.5,5.5,,0,EcoInvent,Input,MASS FROM CASING,77,33,34,CALCULATED,0.002,0.01,5.0,MIN_MAX_AVG,
"L11, L20, L21",0805,Passives,Inductors,kg,kg,3e-05,3e-05,"inductor production, low value multilayer chip",Ferrite Bead,WURTH,742792031,SMD EMI Suppression Chip Ferrite Bead (WE-CBF Series),3,1e-05,NO,2.0,1.25,0.8,,4.5,5.5,,0,EcoInvent,Input,MASS FROM CASING,78,33,34,CALCULATED,0.002,0.01,5.0,MIN_MAX_AVG,
L8,,Passives,Inductors,kg,kg,0.004,0.004,"inductor production, ring core choke type",AUTO,WURTH ELEKTRONIK,7447797180,1,2,0.002,YES,,,,,,,,,EcoInvent,Input,The ecoinvent model is of a 6.3 g so is closer than the other model. https://www.mouser.mx/ProductDetail/Wurth-Elektronik/7447797180?qs=J4sk5G6CMwZAcdfQztcYmw%3D%3D,75,34,35,DATASHEET_QTY_KG,,2.0,,MISSING,
L9,,Passives,Inductors,kg,kg,0.004,0.004,"inductor production, ring core choke type",AUTO,WURTH ELEKTRONIK,7447798221,1,2,0.002,YES,,,,,,,,,EcoInvent,Input,The ecoinvent model is of a 6.3 g so is closer than the other model. https://www.mouser.mx/ProductDetail/Wurth-Elektronik/7447797180?qs=J4sk5G6CMwZAcdfQztcYmw%3D%3D,76,34,35,DATASHEET_QTY_KG,,2.0,,MISSING,
LP5,,Hardware,Mounting Hardware,kg,kg,0.00129,0.00129,market for polycarbonate + injection moulding,AUTO,BIVAR,RLP4-200-500,"2-Way in One Rows, Right Angle 2.8mm Diameter LED Light Pipe",1,0.00129,YES,,,,,,,,,EcoInvent,Input,plastic part. mass in: https://www.mouser.mx/ProductDetail/Bivar/RLP4-200-500?qs=DTo5u7NUXXGTGKnPVKmOcQ%3D%3D,81,34,37,DATASHEET_QTY_KG,,1.29,,MISSING,
"PB1, PB2, PB3",,Electromechanical,Switches,kg,kg,6.6e-05,6.6e-05,"electronic component, passive, unspecified",AUTO,OMRON,B3U-1100P,"3x2.5mm Ultra-Small Tactile SPST Pushbutton Switch (with Ground Terminal),Contact Rating 50mA 12VDC, B3U Series",3,2.2e-05,YES,,,,,,,,,EcoInvent,Input,mass: https://www.mouser.mx/ProductDetail/Omron-Electronics/B3U-1100P?qs=q8ECNkb1%2FvMiNWwbhMFu4g%3D%3D,82,34,38,DATASHEET_QTY_KG,,0.022,,MISSING,
"LD1, LD2, LD3, LD4",,Discrete Semiconductors,Optoelectronics,kg,kg,0.00024,0.00024,light emitting diode production,LED,BROADCOM,HSMF-A203-A00J1,Bicolor Red/Emerald Green Surface Mount LED,4,6e-05,YES,,,,,,,,,EcoInvent,Input,https://www.mouser.mx/ProductDetail/Broadcom-Avago/HSMF-A203-A00J1?qs=YDL0qNrpDT4d43ReqF2t1Q%3D%3D,79,35,36,DATASHEET_QTY_KG,,0.06,,MISSING,
"LD5, LD6, LD7, LD8, LD9, LD10, LD11, LD12",0603,Discrete Semiconductors,Optoelectronics,kg,kg,4.096e-05,4.096e-05,light emitting diode production,LED,LITEON,LTST-C193KGKT-5A,"Extra Thin SMD Chip LED, Ultra Bright AlInGaP Green, Lens Water Clear",8,5.12e-06,NO,1.6,0.8,0.8,,4.5,5.5,,,EcoInvent,Input,mass from casing,80,35,36,CALCULATED,0.001024,0.00512,5.0,MIN_MAX_AVG,
Q1,,Passives,Crystals,kg,kg,1.6e-05,1.6e-05,"electronic component, passive, unspecified",Quartz,TXC,7M-12.000MAAJ-T,"±30ppm 18pF -20°C to +70°C  4 Pins, 3.2x2.5X0.8mm, SMD Sealing Crystal, 7M Series",1,1.6e-05,YES,,,,,,,,,EcoInvent,Input,Mass from volume (0.0064 cm³) × quartz/ceramic density (2.5 g/cm³) + metal_extra 0.001 = 0.017 g.,83,36,39,DATASHEET_QTY_KG,,0.016,,MISSING,
"R1, R2, R40, R41, R42, R43, R44, R45, R119, R120, R121, R122, R123, R124, R125, R126, R216, R217, R218, R219, R220, R221, R222, R223",0402,Passives,Resistors,kg,kg,1.95e-05,1.95e-05,"resistor production, surface-mounted",Thick Film,GENERIC,R0402_56R_1%_0.0625W_100PPM,"General Purpose Thick Film Chip Resistor, 56Ω, 1%, 0.0625W",24,8.125e-07,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,Input,Mass from volume (0.000175 cm³) × 3.5 g/cm³ + metal_extra 0.0002 = 0.0008125 g. Generic 0402 resistor.,84,37,40,CALCULATED,0.000175,0.000812,3.5,MIN_MAX_AVG,
"R3, R4, R5, R6, R7, R8, R11, R12, R13, R14, R35_CONTACT_OUT_0, R35_CONTACT_OUT_1, R35_CONTACT_OUT_2, R35_CONTACT_OUT_3, R35_CONTACT_OUT_4, R35_CONTACT_OUT_5, R48, R49, R51, R68, R71_DIG_IND_IN_1, R71_DIG_IND_IN_2, R71_DIG_IND_IN_3, R71_DIG_IND_IN_4, R71_DIG_IND_IN_5, R71_DIG_IND_IN_6, R71_DIG_IND_IN_7, R71_DIG_IND_IN_8, R71_DIG_IND_IN_9, R71_DIG_IND_IN_10, R71_DIG_IND_IN_11, R71_DIG_IND_IN_12, R71_DIG_IND_IN_13, R71_DIG_IND_IN_14, R73_DIG_IND_IN_1, R73_DIG_IND_IN_2, R73_DIG_IND_IN_3, R73_DIG_IND_IN_4, R73_DIG_IND_IN_5, R73_DIG_IND_IN_6, R73_DIG_IND_IN_7, R73_DIG_IND_IN_8, R73_DIG_IND_IN_9, R73_DIG_IND_IN_10, R73_DIG_IND_IN_11, R73_DIG_IND_IN_12, R73_DIG_IND_IN_13, R73_DIG_IND_IN_14, R74_DIG_IND_IN_1, R74_DIG_IND_IN_2, R74_DIG_IND_IN_3, R74_DIG_IND_IN_4, R74_DIG_IND_IN_5, R74_DIG_IND_IN_6, R74_DIG_IND_IN_7, R74_DIG_IND_IN_8, R74_DIG_IND_IN_9, R74_DIG_IND_IN_10, R74_DIG_IND_IN_11, R74_DIG_IND_IN_12, R74_DIG_IND_IN_13, R74_DIG_IND_IN_14, R152, R153, R154, R157, R158, R159, R160, R181, R184, R185, R187, R193, R194, R224_P24V_FUSE1, R224_P24V_FUSE2, R224_P24V_FUSE3, R224_P24V_FUSE4, R224_P24V_FUSE5, R224_P24V_FUSE6, R224_P24V_FUSE7, R224_P24V_FUSE8, R225",0402,Passives,Resistors,kg,kg,6.825e-05,6.825e-05,"resistor production, surface-mounted",Thick Film,GENERIC,R0402_1K_1%_0.0625W_100PPM,General Purpose Thick Film Chip Resistor,84,8.125e-07,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,Input,Same 0402 resistor mass.,85,37,40,CALCULATED,0.000175,0.000812,3.5,MIN_MAX_AVG,
R9,0402,Passives,Resistors,kg,kg,8.125e-07,8.125e-07,"resistor production, surface-mounted",Thick Film,GENERIC,R0402_12K_1%_0.0625W_100PPM,General Purpose Thick Film Chip Resistor,1,8.125e-07,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,Input,0402.,86,37,40,CALCULATED,0.000175,0.000812,3.5,MIN_MAX_AVG,
"R10, R15",0402,Passives,Resistors,kg,kg,1.625e-06,1.625e-06,"resistor production, surface-mounted",Thick Film,GENERIC,R0402_2K2_1%_0.0625W_100PPM,General Purpose Thick Film Chip Resistor,2,8.125e-07,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,Input,0402.,87,37,40,CALCULATED,0.000175,0.000812,3.5,MIN_MAX_AVG,
"R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R133, R134, R135, R136, R137, R138, R139, R140, R141, R142, R143, R144, R145, R146, R147, R148, R149, R172, R177",0402,Passives,Resistors,kg,kg,2.84375e-05,2.84375e-05,"resistor production, surface-mounted",Thick Film,GENERIC,R0402_4K7_1%_0.0625W_100PPM,General Purpose Thick Film Chip Resistor,35,8.125e-07,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,Input,0402.,88,37,40,CALCULATED,0.000175,0.000812,3.5,MIN_MAX_AVG,
"R32_DIG_FAST_IN_CCT_0, R32_DIG_FAST_IN_CCT_1, R32_DIG_FAST_IN_CCT_2, R32_DIG_FAST_IN_CCT_3, R32_DIG_FAST_IN_CCT_4, R32_DIG_FAST_IN_CCT_5, R32_DIG_FAST_IN_CCT_6, R32_DIG_FAST_IN_CCT_7, R32_DIG_FAST_IN_CCT_8, R32_DIG_FAST_IN_CCT_9, R32_DIG_FAST_IN_CCT_10, R32_DIG_FAST_IN_CCT_11, R32_DIG_FAST_IN_CCT_12, R32_DIG_FAST_IN_CCT_13",0402,Passives,Resistors,kg,kg,1.1375e-05,1.1375e-05,"resistor production, surface-mounted",Thick Film,GENERIC,R0402_100R_1%_0.0625W_100PPM,General Purpose Thick Film Chip Resistor,14,8.125e-07,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,Input,0402.,89,37,40,CALCULATED,0.000175,0.000812,3.5,MIN_MAX_AVG,
"R33_CONTACT_OUT_0, R33_CONTACT_OUT_1, R33_CONTACT_OUT_2, R33_CONTACT_OUT_3, R33_CONTACT_OUT_4, R33_CONTACT_OUT_5",0402,Passives,Resistors,kg,kg,4.875e-06,4.875e-06,"resistor production, surface-mounted",Thick Film,GENERIC,R0402_430R_1%_0.0625W_100PPM,General Purpose Thick Film Chip Resistor,6,8.125e-07,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,Input,0402.,90,37,40,CALCULATED,0.000175,0.000812,3.5,MIN_MAX_AVG,
"R34_CONTACT_OUT_0, R34_CONTACT_OUT_1, R34_CONTACT_OUT_2, R34_CONTACT_OUT_3, R34_CONTACT_OUT_4, R34_CONTACT_OUT_5",0805,Passives,Resistors,kg,kg,3.225e-05,3.225e-05,"resistor production, surface-mounted",Thick Film,GENERIC,R0805_1R1_1%_0.125W_200PPM,General Purpose Thick Film Chip Resistor,6,5.375e-06,NO,2.0,1.25,0.5,,3,4,0.001,0,EcoInvent,Input,0805 resistor; mass from volume (0.00125 cm³) × 3.5 + metal_extra 0.001 = 0.005375 g.,91,37,40,CALCULATED,0.00125,0.005375,3.5,MIN_MAX_AVG,
"R36, R37, R200, R201, R202, R203, R204, R205, R206, R207, R208, R209, R210, R211, R212, R213, R214, R215",0402,Passives,Resistors,kg,kg,1.4625e-05,1.4625e-05,"resistor production, surface-mounted",Thick Film,GENERIC,R0402_1K_1%_0.0625W_100PPM,General Purpose Thick Film Chip Resistor,18,8.125e-07,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,Input,0402.,92,37,40,CALCULATED,0.000175,0.000812,3.5,MIN_MAX_AVG,
