Order_index,Category_order,Group_order,Category,Section,Subsection,Designators,Casing,Part_Number,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Amount,Mass_per_element_g,Total_mass_g,Total_mass_kg,Formula_basis,Validation_error
36,13,13,PTC Fuse,Passives,Protection,"F1, F2, F3, F4, F5, F6, F8, F9, F10, F11, F12, F13",1206,MF-SM030,EcoInvent,"electronic component, passive, unspecified",kg,Input,0.005688,0.474,5.688,0.005688,mass-based,
37,14,14,USB Interface,IC,Logic / Mixed-Signal,IC1,,FT4232H-56Q,EcoInvent,"integrated circuit production, logic type",kg,Input,0.000369,0.369,0.369,0.000369,mass-based,
38,15,15,EEPROM,IC,Memory,IC2,,93LC56B-I/OT,EcoInvent,"integrated circuit production, logic type",kg,Input,6.5e-06,0.0065,0.0065,6.5e-06,mass-based,
58,15,15,EEPROM,IC,Memory,IC52,SOIC8,24AA025E48-I/SN,EcoInvent,"integrated circuit production, logic type",kg,Input,4.0131e-05,0.040131,0.040131,4.0131e-05,mass-based,
39,16,16,Power Management,IC,Analog,IC3,,MIC5219-3.3YM5,EcoInvent,"integrated circuit production, logic type",kg,Input,6.3e-05,0.063,0.063,6.3e-05,mass-based,
46,16,16,Power Management,IC,Analog,IC14,SOT89,L78L05ACUTR,EcoInvent,"integrated circuit production, logic type",kg,Input,0.00019,0.19,0.19,0.00019,mass-based,
48,16,16,Power Management,IC,Analog,IC16,SOT223,TLV1117-18IDCY,EcoInvent,"integrated circuit production, logic type",kg,Input,0.000112,0.112,0.112,0.000112,mass-based,
53,16,16,Power Management,IC,Analog,IC41,LFCSP20,ADP5071ACP,EcoInvent,"integrated circuit production, logic type",kg,Input,5.84e-05,0.0584,0.0584,5.84e-05,mass-based,
57,16,16,Power Management,IC,Analog,IC51,LGA25,LTM4623EY,EcoInvent,"electronic component production, active, unspecified",kg,Input,0.0005,0.5,0.5,0.0005,mass-based,
40,17,17,Sensor,IC,Analog,"IC4, IC5, IC49",,LM75AIMM/NOPB,EcoInvent,"integrated circuit production, logic type",kg,Input,9.3e-05,0.031,0.093,9.3e-05,mass-based,
41,18,18,Isolator,IC,Mixed-Signal,"IC6, IC7, IC60",SOIC-8,ISO1541D,EcoInvent,"integrated circuit production, logic type",kg,Input,0.000120393,0.040131,0.120393,0.000120393,mass-based,
42,19,19,Logic,IC,Digital,"IC8, IC42",,SN74LVC8T245RHL,EcoInvent,"integrated circuit production, logic type",kg,Input,0.0001,0.05,0.1,0.0001,mass-based,
43,19,19,Logic,IC,Digital,"IC9, IC10, IC22, IC23, IC24, IC33, IC38",,SN74AXC8T245RHL,EcoInvent,"integrated circuit production, logic type",kg,Input,0.00035,0.05,0.35,0.00035,mass-based,
45,19,19,Logic,IC,Digital,"IC12, IC13, IC70, IC75",TSSOP14,SN74LV02APW,EcoInvent,"integrated circuit production, logic type",kg,Input,0.0002288,0.0572,0.2288,0.0002288,mass-based,
54,19,19,Logic,IC,Digital,IC43,TSSOP14,SN74LVC14APW,EcoInvent,"integrated circuit production, logic type",kg,Input,5.72e-05,0.0572,0.0572,5.72e-05,mass-based,
56,19,19,Logic,IC,Digital,"IC45, IC46, IC47, IC85",VQFN14,SN74LVC07ARGY,EcoInvent,"integrated circuit production, logic type",kg,Input,0.0001288,0.0322,0.1288,0.0001288,mass-based,
59,19,19,Logic,IC,Digital,"IC53, IC54, IC55, IC58, IC59",UQFN10,SN74AVC2T245RSWR,EcoInvent,"integrated circuit production, logic type",kg,Input,0.000155,0.031,0.155,0.000155,mass-based,
62,19,19,Logic,IC,Digital,"IC66, IC68",TSSOP14,SN74HCS4075PW,EcoInvent,"integrated circuit production, logic type",kg,Input,0.0001144,0.0572,0.1144,0.0001144,mass-based,
63,19,19,Logic,IC,Digital,"IC67, IC71, IC72, IC73, IC74",TSSOP14,SN74LVC74APWT,EcoInvent,"integrated circuit production, logic type",kg,Input,0.000286,0.0572,0.286,0.000286,mass-based,
44,20,20,Solid State Relay,Modules,Hybrid Relays,"IC11_CONTACT_OUT_0, IC11_CONTACT_OUT_1, IC11_CONTACT_OUT_2, IC11_CONTACT_OUT_3, IC11_CONTACT_OUT_4, IC11_CONTACT_OUT_5",DIP6 SMD,AQV251A,EcoInvent,"electronic component production, active, unspecified",kg,Input,0.000427,0.427,0.427,0.000427,mass-based,
47,21,21,Driver,IC,Analog,"IC15, IC17",TSSOP16,TPL7407LAPW,EcoInvent,"integrated circuit production, logic type",kg,Input,0.000346,0.173,0.346,0.000346,mass-based,
49,22,22,Interface,IC,Mixed-Signal,"IC18, IC19",TSSOP38,SN65MLVD082DGG,EcoInvent,"integrated circuit production, logic type",kg,Input,0.0005252,0.2626,0.5252,0.0005252,mass-based,
51,22,24,Interface,IC,Digital,"IC25, IC32, IC34, IC35, IC36, IC37, IC39, IC40",VSON8,SN65HVD78DRB,EcoInvent,"integrated circuit production, logic type",kg,Input,0.000192,0.024,0.192,0.000192,mass-based,
52,22,24,Interface,IC,Digital,"IC26, IC27, IC28, IC29, IC30, IC31",VQFN16,AM26LV31EIRGY,EcoInvent,"integrated circuit production, logic type",kg,Input,0.0002232,0.0372,0.2232,0.0002232,mass-based,
50,23,23,Optocoupler,IC,Optoelectronics,"IC20, IC21, IC76, IC77, IC78, IC79, IC81",SOIC8,HCPL-063L-000E,EcoInvent,"integrated circuit production, logic type",kg,Input,0.000280917,0.040131,0.280917,0.000280917,mass-based,
55,24,25,Isolated Digital Input,IC,Mixed-Signal,"IC44_DIG_IND_IN_1, IC44_DIG_IND_IN_2, IC44_DIG_IND_IN_3, IC44_DIG_IND_IN_4, IC44_DIG_IND_IN_5, IC44_DIG_IND_IN_6, IC44_DIG_IND_IN_7, IC44_DIG_IND_IN_8, IC44_DIG_IND_IN_9, IC44_DIG_IND_IN_10, IC44_DIG_IND_IN_11, IC44_DIG_IND_IN_12, IC44_DIG_IND_IN_13, IC44_DIG_IND_IN_14",TSSOP24,ISO1228DFB,EcoInvent,"integrated circuit production, logic type",kg,Input,0.0021,0.15,2.1,0.0021,mass-based,
60,25,26,Voltage Translator,IC,Mixed-Signal,"IC56, IC57",VSSOP8,PCA9306DCUR,EcoInvent,"integrated circuit production, logic type",kg,Input,1.92e-05,0.0096,0.0192,1.92e-05,mass-based,
61,26,27,Power Monitor,IC,Mixed-Signal,"IC61, IC62, IC63, IC64, IC65",VSSOP10,INA226AIDGST,EcoInvent,"integrated circuit production, logic type",kg,Input,0.0001185,0.0237,0.1185,0.0001185,mass-based,
64,27,28,High-Speed I/O,Electromechanical,Connectors,J1,,1-2007637-5,EcoInvent,"electric connector production, peripheral type buss",kg,Input,0.0162,16.2,16.2,0.0162,mass-based,
65,28,29,High-Density Array,Electromechanical,Connectors,"J2, J3, J4",,ADF6-100-03.5-L-4-2-A,EcoInvent,"electric connector production, peripheral type buss",kg,Input,0.2214,73.8,221.4,0.2214,mass-based,
66,29,30,Right Angle Header,Electromechanical,Connectors,J5,,10052825-101LF,EcoInvent,"electric connector production, peripheral type buss",kg,Input,0.015336,15.336,15.336,0.015336,mass-based,
67,29,30,Right Angle Header,Electromechanical,Connectors,"J6, J13, J14",,10052837-101LF,EcoInvent,"electric connector production, peripheral type buss",kg,Input,0.045507,15.169,45.507,0.045507,mass-based,
