Order_index,Category_order,Group_order,Category,Section,Subsection,Designators,Casing,Part_Number,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Amount,Total_mass_kg,Formula_basis,Validation_error
52,26,28,Right Angle Header,Electromechanical,Connectors,J5,,10052837-101LF,EcoInvent,"electric connector production, peripheral type buss",kg,Input,0.015169,0.015169,mass-based,
53,26,28,Right Angle Header,Electromechanical,Connectors,J6,,10052825-101LF,EcoInvent,"electric connector production, peripheral type buss",kg,Input,0.015336,0.015336,mass-based,
54,27,29,D-Sub,Electromechanical,Connectors,J7,,2311763-2,EcoInvent,"electric connector production, peripheral type buss",kg,Input,0.0084,0.0084,mass-based,
55,28,30,Common Mode Choke,Passives,Inductors,"L1_ADC_1, L1_ADC_2, L1_ADC_3, L1_ADC_4, L1_ADC_5, L1_ADC_6, L3_ADC_1, L3_ADC_2, L3_ADC_3, L3_ADC_4, L3_ADC_5, L3_ADC_6, L7_ADC_1, L7_ADC_2, L7_ADC_3, L7_ADC_4, L7_ADC_5, L7_ADC_6, L8_ADC_1, L8_ADC_2, L8_ADC_3, L8_ADC_4, L8_ADC_5, L8_ADC_6, L9_ADC_1, L9_ADC_2, L9_ADC_3, L9_ADC_4, L9_ADC_5, L9_ADC_6, L10_ADC_1, L10_ADC_2, L10_ADC_3, L10_ADC_4, L10_ADC_5, L10_ADC_6, L11_ADC_1, L11_ADC_2, L11_ADC_3, L11_ADC_4, L11_ADC_5, L11_ADC_6, L12_ADC_1, L12_ADC_2, L12_ADC_3, L12_ADC_4, L12_ADC_5, L12_ADC_6",0805,ACM2012-202-2P,EcoInvent,"inductor production, low value multilayer chip",kg,Input,0.00048,0.00048,mass-based,
58,28,30,Common Mode Choke,Passives,Inductors,"L5_ANA_CAL_0, L5_ANA_CAL_1",,744226,EcoInvent,"inductor production, ring core choke type",kg,Input,0.000936,0.000936,mass-based,
59,28,30,Common Mode Choke,Passives,Inductors,L14,0805,ACM2012-361-2P,EcoInvent,"inductor production, low value multilayer chip",kg,Input,1e-05,1e-05,mass-based,
56,29,31,Power Inductor,Passives,Inductors,"L2, L13",2220,B82442H1103K,EcoInvent,"inductor production, ring core choke type",kg,Input,0.00096,0.00096,mass-based,
57,29,31,Power Inductor,Passives,Inductors,"L4_ANA_CAL_0, L4_ANA_CAL_1, L6_ANA_CAL_0, L6_ANA_CAL_1",1210,LQH32CN331K23,EcoInvent,"inductor production, ring core choke type",kg,Input,0.00027896232,0.00027896232,mass-based,
60,29,31,Power Inductor,Passives,Inductors,"L15, L17, L19",,74408943100,EcoInvent,"inductor production, ring core choke type",kg,Input,0.000945,0.000945,mass-based,
61,29,31,Power Inductor,Passives,Inductors,L18,,IND_4.7UH_20%_MURATA-PS_8200,EcoInvent,"inductor production, low value multilayer chip",kg,Input,6e-05,6e-05,mass-based,
62,30,32,Trimmer,Passives,Resistors,"P1_ANA_CAL_0, P1_ANA_CAL_1, P2_ANA_CAL_0, P2_ANA_CAL_1",,3224X-1-200E,EcoInvent,"electronic component, passive, unspecified",kg,Input,0.0008,0.0008,mass-based,
63,31,33,Thin Film,Passives,Resistors,R1,0402,R0402_31K6_0.1%_0.063W_25PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,8.125e-07,8.125e-07,mass-based,
65,31,33,Thin Film,Passives,Resistors,"R3, R14_ANA_CAL_0, R14_ANA_CAL_1, R20_ANA_CAL_0, R20_ANA_CAL_1, R27, R29, R30, R31, R52_ADC_1, R52_ADC_2, R52_ADC_3, R52_ADC_4, R52_ADC_5, R52_ADC_6, R56, R57, R58_ANA_CAL_0, R58_ANA_CAL_1, R59_ANA_CAL_0, R59_ANA_CAL_1",0603,R0603_10R_0.1%_0.063W_10PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,0.000139776,0.000139776,mass-based,
