Manufacturer,Part_Number,Subsystems,Casing,Description,Section,Subsection,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Ecoinvent_flow,Ecoinvent_unit,Direction
OMRON ELECTRONIC,G2RL-24-DC24,contactor_card,,"8A@250VAC, DPDT Power Relay, G2RL Series",Electromechanical,Relays,kg,0.035,YES,,,,,,,,,EcoInvent,"transformer production, low voltage use",kg,Input
ON SEMICONDUCTOR,BAW56L,4Q_power_card,SOT23-3,70V Dual Common Anode Switching Diodes,Discrete Semiconductors,Small signal,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input
ON SEMICONDUCTOR,MBR40250G,4Q_power_card,TO-220-2-V,250V 40A Switch-Mode Schottky Power Rectifier,Discrete Semiconductors,Power,kg,0.0019,YES,,,,,,,,,EcoInvent,"transistor production, wired, small size, through-hole mounting",kg,Input
onsemi,MJD45H11,4Q_output_control_card,DPAK,80V 8A PNP General-Purpose Power Transistor,Discrete Semiconductors,Power,kg,,NO,6.6,6.2,2.3,,1.2,1.3,0.215,,EcoInvent,"transistor production, surface-mounted",kg,Input
onsemi,MMBT3906L,"4Q_output_control_card, contactor_card, inverter_power_card",SOT23-3,40V 200mA PNP General Purpose Transistor,Discrete Semiconductors,Small signal,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"transistor production, surface-mounted",kg,Input
onsemi (Fairchild),SMBJ24A,"4Q_output_control_card, 4Q_power_card, contactor_card, inverter_power_card",DO-214AA,24V 600W Uni-Directional Transient Voltage Suppressor Diode,Discrete Semiconductors,Small signal,kg,,NO,4.57,3.94,2.4,,1.2,1.25,0.05,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input
OSRAM,LY T676-R1S2-26,"contactor_card, inverter_power_card",,Hyper TOPLED® SMD Yellow LED,Discrete Semiconductors,Optoelectronics,kg,0.035,YES,,,,,,,,,EcoInvent,light emitting diode production,kg,Input
OSRAM,N2514-6003RB,contactor_card,,14 Contacts Straight .100'' x .100'' Low Profile Four-Wall Header (Solder Tail 3.94mm) 2500 Series,Electromechanical,Connectors,kg,0.00331,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input
Panasonic,AQV210EHA,"4Q_output_control_card, 4Q_power_card, contactor_card, inverter_power_card",DIP6 SMD,"GE 1 Form A, PhotoMOS Relay, 5000V Reinforced Insulation, 350V 130mA",Modules,Hybrid relays,kg,0.000427,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input
Panel of 1,EDA-05280-V1,4Q_power_card,,Q Power Card [25A 100V] Printed Circuit Board (Bare),PCB,,m2,,YES,170,100,,,,,,3.08,EcoInvent,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input
Panel of 1,EDA-05281-V1,4Q_output_power_card,,4Q Output Power Card [25A 100V] Printed Circuit Board (Bare),PCB,,m2,,YES,225,110,,,,,,3.08,EcoInvent,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input
